Titulo,Autor(es),DOI,URL,Journal,NCBIID,Citation,PMCID,Año de Publicación
An altered uterine microbiota with endometrial hyperplasia.,"Ying X, Xu G, Wang H, Wang Y",10.1186/s12866-024-03379-1,https://ncbi.nlm.nih.gov/pubmed/38997629,BMC Microbiol,38997629,"Ying X, et al. An altered uterine microbiota with endometrial hyperplasia. An altered uterine microbiota with endometrial hyperplasia. 2024; 24:258. doi: 10.1186/s12866-024-03379-1",N/A,2024
Correlation between dysbiosis of vaginal microecology and endometriosis: A systematic review and meta-analysis.,"Qing X, Xie M, Liu P, Feng O, Leng H, Guo H, Zhang Y, Ma Y, Zheng W",10.1371/journal.pone.0306780,https://ncbi.nlm.nih.gov/pubmed/38976704,PLoS One,38976704,"Qing X, et al. Correlation between dysbiosis of vaginal microecology and endometriosis: A systematic review and meta-analysis. Correlation between dysbiosis of vaginal microecology and endometriosis: A systematic review and meta-analysis. 2024; 19:e0306780. doi: 10.1371/journal.pone.0306780",N/A,2024
Vaginal and rectal microbiome contribute to genital inflammation in chronic pelvic pain.,"Jimenez N, Norton T, Diadala G, Bell E, Valenti M, Farland LV, Mahnert N, Herbst-Kralovetz MM",10.1186/s12916-024-03500-1,https://ncbi.nlm.nih.gov/pubmed/38972981,BMC Med,38972981,"Jimenez N, et al. Vaginal and rectal microbiome contribute to genital inflammation in chronic pelvic pain. Vaginal and rectal microbiome contribute to genital inflammation in chronic pelvic pain. 2024; 22:283. doi: 10.1186/s12916-024-03500-1",N/A,2024
Metaproteomic analysis from cervical biopsies and cytologies identifies proteinaceous biomarkers representing both human and microbial species.,"Faktor J, Henek T, Hernychova L, Singh A, Vojtesek B, Polom J, Bhatia R, Polom K, Cuschieri K, Cruickshank M, Gurumurthy M, Goodlett DR, Al Shboul S, Samal SK, Hupp T, Kalampokas E, Kote S",10.1016/j.talanta.2024.126460,https://ncbi.nlm.nih.gov/pubmed/38968660,Talanta,38968660,"Faktor J, et al. Metaproteomic analysis from cervical biopsies and cytologies identifies proteinaceous biomarkers representing both human and microbial species. Metaproteomic analysis from cervical biopsies and cytologies identifies proteinaceous biomarkers representing both human and microbial species. 2024; 278:126460. doi: 10.1016/j.talanta.2024.126460",N/A,2024
New Aspects in the Study of Lactobacillus iners.,"Mikhanoshina NV, Priputnevich TV",10.1007/s10517-024-06136-6,https://ncbi.nlm.nih.gov/pubmed/38960954,Bull Exp Biol Med,38960954,Mikhanoshina NV and Priputnevich TV. New Aspects in the Study of Lactobacillus iners. New Aspects in the Study of Lactobacillus iners. 2024; 177:84-87. doi: 10.1007/s10517-024-06136-6,N/A,2024
Microbial signatures and continuum in endometrial cancer and benign patients.,"Semertzidou A, Whelan E, Smith A, Ng S, Roberts L, Brosens JJ, Marchesi JR, Bennett PR, MacIntyre DA, Kyrgiou M",10.1186/s40168-024-01821-0,https://ncbi.nlm.nih.gov/pubmed/38951935,Microbiome,38951935,"Semertzidou A, et al. Microbial signatures and continuum in endometrial cancer and benign patients. Microbial signatures and continuum in endometrial cancer and benign patients. 2024; 12:118. doi: 10.1186/s40168-024-01821-0",N/A,2024
Evidence of Lactobacillus strains shared between the female urinary and vaginal microbiota.,"Atkins H, Sabharwal B, Boger L, Stegman N, Kula A, Wolfe AJ, Banerjee S, Putonti C",10.1099/mgen.0.001267,https://ncbi.nlm.nih.gov/pubmed/38949867,Microb Genom,38949867,"Atkins H, et al. Evidence of Lactobacillus strains shared between the female urinary and vaginal microbiota. Evidence of Lactobacillus strains shared between the female urinary and vaginal microbiota. 2024; 10:(unknown pages). doi: 10.1099/mgen.0.001267",N/A,2024
A prospective cohort study examining the association between the periconceptual vaginal microbiota and first-trimester miscarriage in Kenyan women.,"McClelland RS, Lokken EM, Kinuthia J, Srinivasan S, Richardson BA, Jaoko W, Lannon S, Pulei A, Fiedler TL, Munch MM, Proll S, John-Stewart G, Fredricks DN",10.1111/ppe.13099,https://ncbi.nlm.nih.gov/pubmed/38949435,Paediatr Perinat Epidemiol,38949435,"McClelland RS, et al. A prospective cohort study examining the association between the periconceptual vaginal microbiota and first-trimester miscarriage in Kenyan women. A prospective cohort study examining the association between the periconceptual vaginal microbiota and first-trimester miscarriage in Kenyan women. 2024; 38:599-611. doi: 10.1111/ppe.13099",N/A,2024
[Analysis of Reproductive Tract Microecological Changes During the Frozen-Thawed Embryo Transfer Cycle and Clinical Pregnancy Outcomes].,"Yang X, Cai X, Tang J, Huang Y, Wu M, Liu K, Chen Y, Sun Y",10.12182/20240560509,https://ncbi.nlm.nih.gov/pubmed/38948288,Sichuan Da Xue Xue Bao Yi Xue Ban,38948288,"Yang X, et al. [Analysis of Reproductive Tract Microecological Changes During the Frozen-Thawed Embryo Transfer Cycle and Clinical Pregnancy Outcomes]. [Analysis of Reproductive Tract Microecological Changes During the Frozen-Thawed Embryo Transfer Cycle and Clinical Pregnancy Outcomes]. 2024; 55:596-604. doi: 10.12182/20240560509",N/A,2024
Vaginal anaerobes are associated with cervicitis: A case-control study.,"Plummer EL, Vodstrcil LA, Danielewski JA, Murray GL, Doyle ML, Latimer RL, Fairley CK, Chow EPF, Garland SM, Bradshaw CS",10.1016/j.jinf.2024.106210,https://ncbi.nlm.nih.gov/pubmed/38944285,J Infect,38944285,"Plummer EL, et al. Vaginal anaerobes are associated with cervicitis: A case-control study. Vaginal anaerobes are associated with cervicitis: A case-control study. 2024; 89:106210. doi: 10.1016/j.jinf.2024.106210",N/A,2024
Metagenomic analysis revealed the association between gut microbiota and different ovary responses to controlled ovarian stimulation.,"Fo X, Pei ML, Liu PJ, Zhu F, Zhang Y, Mu X",10.1038/s41598-024-65869-6,https://ncbi.nlm.nih.gov/pubmed/38942886,Sci Rep,38942886,"Fo X, et al. Metagenomic analysis revealed the association between gut microbiota and different ovary responses to controlled ovarian stimulation. Metagenomic analysis revealed the association between gut microbiota and different ovary responses to controlled ovarian stimulation. 2024; 14:14930. doi: 10.1038/s41598-024-65869-6",N/A,2024
Urinary microbiome community types associated with urinary incontinence severity in women.,"Carnes MU, Siddiqui NY, Karstens L, Gantz MG, Dinwiddie DL, Sung VW, Bradley M, Brubaker L, Ferrando CA, Mazloomdoost D, Richter HE, Rogers RG, Smith AL, Komesu YM, Eunice Kennedy Shriver National Institute of Child Health and Human Development Pelvic Floor Disorders Network",10.1016/j.ajog.2023.10.036,https://ncbi.nlm.nih.gov/pubmed/38937257,Am J Obstet Gynecol,38937257,"Carnes MU, et al. Urinary microbiome community types associated with urinary incontinence severity in women. Urinary microbiome community types associated with urinary incontinence severity in women. 2024; 230:344.e1-344.e20. doi: 10.1016/j.ajog.2023.10.036",N/A,2024
Species-level characterization of the cervicovaginal microbiota and its role in human papillomavirus-associated cervical carcinogenesis.,"Logel M, El-Zein M, Franco EL, Gonzalez E",10.1002/jmv.29764,https://ncbi.nlm.nih.gov/pubmed/38923577,J Med Virol,38923577,"Logel M, et al. Species-level characterization of the cervicovaginal microbiota and its role in human papillomavirus-associated cervical carcinogenesis. Species-level characterization of the cervicovaginal microbiota and its role in human papillomavirus-associated cervical carcinogenesis. 2024; 96:e29764. doi: 10.1002/jmv.29764",N/A,2024
Vaginal fungi are associated with treatment-induced shifts in the vaginal microbiota and with a distinct genital immune profile.,"Armstrong E, Hemmerling A, Miller S, Huibner S, Kulikova M, Liu R, Crawford E, Castañeda GR, Coburn B, Cohen CR, Kaul R",10.1128/spectrum.03501-23,https://ncbi.nlm.nih.gov/pubmed/38912808,Microbiol Spectr,38912808,"Armstrong E, et al. Vaginal fungi are associated with treatment-induced shifts in the vaginal microbiota and with a distinct genital immune profile. Vaginal fungi are associated with treatment-induced shifts in the vaginal microbiota and with a distinct genital immune profile. 2024; 12:e0350123. doi: 10.1128/spectrum.03501-23",N/A,2024
Chinese medicine compound prescription HeQi San ameliorates chronic inflammatory states and modulates gut flora in dehydroepiandrosterone-induced polycystic ovary syndrome mouse model.,"Li J, Liu D, Zhao H, Zhang P, Cai F, Li H, Chu S",10.1016/j.intimp.2024.112491,https://ncbi.nlm.nih.gov/pubmed/38909499,Int Immunopharmacol,38909499,"Li J, et al. Chinese medicine compound prescription HeQi San ameliorates chronic inflammatory states and modulates gut flora in dehydroepiandrosterone-induced polycystic ovary syndrome mouse model. Chinese medicine compound prescription HeQi San ameliorates chronic inflammatory states and modulates gut flora in dehydroepiandrosterone-induced polycystic ovary syndrome mouse model. 2024; 137:112491. doi: 10.1016/j.intimp.2024.112491",N/A,2024
Vaginal Lactobacillus crispatus persistence following application of a live biotherapeutic product: colonization phenotypes and genital immune impact.,"Armstrong E, Hemmerling A, Miller S, Huibner S, Kulikova M, Crawford E, Castañeda GR, Coburn B, Cohen CR, Kaul R",10.1186/s40168-024-01828-7,https://ncbi.nlm.nih.gov/pubmed/38907268,Microbiome,38907268,"Armstrong E, et al. Vaginal Lactobacillus crispatus persistence following application of a live biotherapeutic product: colonization phenotypes and genital immune impact. Vaginal Lactobacillus crispatus persistence following application of a live biotherapeutic product: colonization phenotypes and genital immune impact. 2024; 12:110. doi: 10.1186/s40168-024-01828-7",N/A,2024
"A multi-kingdom collection of 33,804 reference genomes for the human vaginal microbiome.","Huang L, Guo R, Li S, Wu X, Zhang Y, Guo S, Lv Y, Xiao Z, Kang J, Meng J, Zhou P, Ma J, You W, Zhang Y, Yu H, Zhao J, Huang G, Duan Z, Yan Q, Sun W",10.1038/s41564-024-01751-5,https://ncbi.nlm.nih.gov/pubmed/38907008,Nat Microbiol,38907008,"Huang L, et al. A multi-kingdom collection of 33,804 reference genomes for the human vaginal microbiome. A multi-kingdom collection of 33,804 reference genomes for the human vaginal microbiome. 2024; 9:2185-2200. doi: 10.1038/s41564-024-01751-5",N/A,2024
Proof of Concept Study: Comparability of Microbiome Diversity in Self- and Physician-Collected HPV-Positive and HPV-Negative Cervicovaginal Samples.,"Asensio-Puig L, de Andrés-Pablo Á, Khannous-Lleiffe O, Ibáñez R, Acera A, de Sanjosé S, Gabaldón T, Alemany L, Bruni L, Pavón MÀ",10.3390/ijms25115736,https://ncbi.nlm.nih.gov/pubmed/38891924,Int J Mol Sci,38891924,"Asensio-Puig L, et al. Proof of Concept Study: Comparability of Microbiome Diversity in Self- and Physician-Collected HPV-Positive and HPV-Negative Cervicovaginal Samples. Proof of Concept Study: Comparability of Microbiome Diversity in Self- and Physician-Collected HPV-Positive and HPV-Negative Cervicovaginal Samples. 2024; 25:(unknown pages). doi: 10.3390/ijms25115736",N/A,2024
Vaginal microbial profile of cervical cancer patients receiving chemoradiotherapy: the potential involvement of Lactobacillus iners in recurrence.,"Wang Y, Wang T, Yan D, Zhao H, Wang M, Liu T, Fan X, Xu X",10.1186/s12967-024-05332-2,https://ncbi.nlm.nih.gov/pubmed/38886729,J Transl Med,38886729,"Wang Y, et al. Vaginal microbial profile of cervical cancer patients receiving chemoradiotherapy: the potential involvement of Lactobacillus iners in recurrence. Vaginal microbial profile of cervical cancer patients receiving chemoradiotherapy: the potential involvement of Lactobacillus iners in recurrence. 2024; 22:575. doi: 10.1186/s12967-024-05332-2",N/A,2024
Altered vaginal cervical microbiota diversity contributes to HPV-induced cervical cancer via inflammation regulation.,"Yang Y, Zhu J, Feng R, Han M, Chen F, Hu Y",10.7717/peerj.17415,https://ncbi.nlm.nih.gov/pubmed/38881859,PeerJ,38881859,"Yang Y, et al. Altered vaginal cervical microbiota diversity contributes to HPV-induced cervical cancer via inflammation regulation. Altered vaginal cervical microbiota diversity contributes to HPV-induced cervical cancer via inflammation regulation. 2024; 12:e17415. doi: 10.7717/peerj.17415",N/A,2024
Dysbiosis in pregnant mice induced by transfer of human vaginal microbiota followed by reversal of pathological changes in the uterus and placenta via progesterone treatment.,"Ozcan G, Tanyolaç Talay ZG, Paerhati E, Eren OC, Coskun N, Sahin D, Alnajjar I, Albayrak O, Gursoy A, Keskin O, Celik E, Can F",10.1186/s12884-024-06595-9,https://ncbi.nlm.nih.gov/pubmed/38877443,BMC Pregnancy Childbirth,38877443,"Ozcan G, et al. Dysbiosis in pregnant mice induced by transfer of human vaginal microbiota followed by reversal of pathological changes in the uterus and placenta via progesterone treatment. Dysbiosis in pregnant mice induced by transfer of human vaginal microbiota followed by reversal of pathological changes in the uterus and placenta via progesterone treatment. 2024; 24:427. doi: 10.1186/s12884-024-06595-9",N/A,2024
The vaginal microbial signatures of preterm birth woman.,"Li H, Han M, Xu J, Li N, Cui H",10.1186/s12884-024-06573-1,https://ncbi.nlm.nih.gov/pubmed/38877389,BMC Pregnancy Childbirth,38877389,"Li H, et al. The vaginal microbial signatures of preterm birth woman. The vaginal microbial signatures of preterm birth woman. 2024; 24:428. doi: 10.1186/s12884-024-06573-1",N/A,2024
"Integrated functional analysis of endometrial transcriptome, microbiome, and immune cell profiling is needed to dissect mechanisms of uterine pathologies and implantation failure.",Acharya G,10.1111/aogs.14882,https://ncbi.nlm.nih.gov/pubmed/38865080,Acta Obstet Gynecol Scand,38865080,"Acharya G. Integrated functional analysis of endometrial transcriptome, microbiome, and immune cell profiling is needed to dissect mechanisms of uterine pathologies and implantation failure. Integrated functional analysis of endometrial transcriptome, microbiome, and immune cell profiling is needed to dissect mechanisms of uterine pathologies and implantation failure. 2024; 103:1236-1237. doi: 10.1111/aogs.14882",N/A,2024
Co-evolution of vaginal microbiome and cervical cancer.,"Hu M, Yang W, Yan R, Chi J, Xia Q, Yang Y, Wang Y, Sun L, Li P",10.1186/s12967-024-05265-w,https://ncbi.nlm.nih.gov/pubmed/38863033,J Transl Med,38863033,"Hu M, et al. Co-evolution of vaginal microbiome and cervical cancer. Co-evolution of vaginal microbiome and cervical cancer. 2024; 22:559. doi: 10.1186/s12967-024-05265-w",N/A,2024
Vaginal flora in HPV infection: a cross‑sectional analysis.,"Dou P, Fang F, Qin R, Nie J, Chen X, Yin X, Wang Y, Shi S",10.1080/01443615.2024.2361847,https://ncbi.nlm.nih.gov/pubmed/38861397,J Obstet Gynaecol,38861397,"Dou P, et al. Vaginal flora in HPV infection: a cross‑sectional analysis. Vaginal flora in HPV infection: a cross‑sectional analysis. 2024; 44:2361847. doi: 10.1080/01443615.2024.2361847",N/A,2024
Temporal composition of the cervicovaginal microbiome associates with hrHPV infection outcomes in a longitudinal study.,"Molina MA, Leenders WPJ, Huynen MA, Melchers WJG, Andralojc KM",10.1186/s12879-024-09455-1,https://ncbi.nlm.nih.gov/pubmed/38831406,BMC Infect Dis,38831406,"Molina MA, et al. Temporal composition of the cervicovaginal microbiome associates with hrHPV infection outcomes in a longitudinal study. Temporal composition of the cervicovaginal microbiome associates with hrHPV infection outcomes in a longitudinal study. 2024; 24:552. doi: 10.1186/s12879-024-09455-1",N/A,2024
Vertical transmission of microbiomes into embryo culture media and its association with assisted reproductive outcomes.,"Alqawasmeh OAM, Jiang XT, Cong L, Wu W, Leung MBW, Chung JPW, Yim HCH, Fok EKL, Chan DYL",10.1016/j.rbmo.2024.103977,https://ncbi.nlm.nih.gov/pubmed/38824761,Reprod Biomed Online,38824761,"Alqawasmeh OAM, et al. Vertical transmission of microbiomes into embryo culture media and its association with assisted reproductive outcomes. Vertical transmission of microbiomes into embryo culture media and its association with assisted reproductive outcomes. 2024; 49:103977. doi: 10.1016/j.rbmo.2024.103977",N/A,2024
Chronic endometritis and the endometrial microbiota: implications for reproductive success in patients with recurrent implantation failure.,"Zhang H, Zou H, Zhang C, Zhang S",10.1186/s12941-024-00710-6,https://ncbi.nlm.nih.gov/pubmed/38816832,Ann Clin Microbiol Antimicrob,38816832,"Zhang H, et al. Chronic endometritis and the endometrial microbiota: implications for reproductive success in patients with recurrent implantation failure. Chronic endometritis and the endometrial microbiota: implications for reproductive success in patients with recurrent implantation failure. 2024; 23:49. doi: 10.1186/s12941-024-00710-6",N/A,2024
Microbiome dysbiosis in patients with chronic endometritis and Clostridium tyrobutyricum ameliorates chronic endometritis in mice.,"Liu J, Tang X, Chen L, Zhang Y, Gao J, Wang A",10.1038/s41598-024-63382-4,https://ncbi.nlm.nih.gov/pubmed/38816643,Sci Rep,38816643,"Liu J, et al. Microbiome dysbiosis in patients with chronic endometritis and Clostridium tyrobutyricum ameliorates chronic endometritis in mice. Microbiome dysbiosis in patients with chronic endometritis and Clostridium tyrobutyricum ameliorates chronic endometritis in mice. 2024; 14:12455. doi: 10.1038/s41598-024-63382-4",N/A,2024
"Mucus production, host-microbiome interactions, hormone sensitivity, and innate immune responses modeled in human cervix chips.","Izadifar Z, Cotton J, Chen S, Horvath V, Stejskalova A, Gulati A, LoGrande NT, Budnik B, Shahriar S, Doherty ER, Xie Y, To T, Gilpin SE, Sesay AM, Goyal G, Lebrilla CB, Ingber DE",10.1038/s41467-024-48910-0,https://ncbi.nlm.nih.gov/pubmed/38811586,Nat Commun,38811586,"Izadifar Z, et al. Mucus production, host-microbiome interactions, hormone sensitivity, and innate immune responses modeled in human cervix chips. Mucus production, host-microbiome interactions, hormone sensitivity, and innate immune responses modeled in human cervix chips. 2024; 15:4578. doi: 10.1038/s41467-024-48910-0",N/A,2024
"The interrelation between microbial immunoglobulin coating, vaginal microbiota, ethnicity, and preterm birth.","Schuster HJ, Breedveld AC, Matamoros SPF, van Eekelen R, Painter RC, Kok M, Hajenius PJ, Savelkoul PHM, van Egmond M, van Houdt R",10.1186/s40168-024-01787-z,https://ncbi.nlm.nih.gov/pubmed/38802950,Microbiome,38802950,"Schuster HJ, et al. The interrelation between microbial immunoglobulin coating, vaginal microbiota, ethnicity, and preterm birth. The interrelation between microbial immunoglobulin coating, vaginal microbiota, ethnicity, and preterm birth. 2024; 12:99. doi: 10.1186/s40168-024-01787-z",N/A,2024
"Longitudinal profiles of the vaginal microbiota of pre-, peri-, and postmenopausal women: preliminary insights from a secondary data analysis.","Stennett CA, France M, Shardell M, Robbins SJ, Brown SE, Johnston ED, Mark K, Ravel J, Brotman RM",10.1097/GME.0000000000002358,https://ncbi.nlm.nih.gov/pubmed/38787353,Menopause,38787353,"Stennett CA, et al. Longitudinal profiles of the vaginal microbiota of pre-, peri-, and postmenopausal women: preliminary insights from a secondary data analysis. Longitudinal profiles of the vaginal microbiota of pre-, peri-, and postmenopausal women: preliminary insights from a secondary data analysis. 2024; 31:537-545. doi: 10.1097/GME.0000000000002358",N/A,2024
Host factors are associated with vaginal microbiome structure in pregnancy in the ECHO Cohort Consortium.,"McKee K, Bassis CM, Golob J, Palazzolo B, Sen A, Comstock SS, Rosas-Salazar C, Stanford JB, O'Connor T, Gern JE, Paneth N, Dunlop AL, ECHO Cohort Consortium",10.1038/s41598-024-62537-7,https://ncbi.nlm.nih.gov/pubmed/38782975,Sci Rep,38782975,"McKee K, et al. Host factors are associated with vaginal microbiome structure in pregnancy in the ECHO Cohort Consortium. Host factors are associated with vaginal microbiome structure in pregnancy in the ECHO Cohort Consortium. 2024; 14:11798. doi: 10.1038/s41598-024-62537-7",N/A,2024
Targeting Megasphaera species to promote cervicovaginal health.,"Molina MA, Biswas S, Núñez-Samudio V, Landires I",10.1016/j.tim.2024.04.015,https://ncbi.nlm.nih.gov/pubmed/38777699,Trends Microbiol,38777699,"Molina MA, et al. Targeting Megasphaera species to promote cervicovaginal health. Targeting Megasphaera species to promote cervicovaginal health. 2024; 32:628-630. doi: 10.1016/j.tim.2024.04.015",N/A,2024
Leveraging existing 16S rRNA gene surveys to decipher microbial signatures and dysbiosis in cervical carcinogenesis.,"Li X, Xiang F, Liu T, Chen Z, Zhang M, Li J, Kang X, Wu R",10.1038/s41598-024-62531-z,https://ncbi.nlm.nih.gov/pubmed/38773342,Sci Rep,38773342,"Li X, et al. Leveraging existing 16S rRNA gene surveys to decipher microbial signatures and dysbiosis in cervical carcinogenesis. Leveraging existing 16S rRNA gene surveys to decipher microbial signatures and dysbiosis in cervical carcinogenesis. 2024; 14:11532. doi: 10.1038/s41598-024-62531-z",N/A,2024
The vaginal microbiome composition during pregnancy in a region compromising different ethnic origins.,"Ozcan G, Vatansever C, Paerhati E, Turgal M, Gursoy T, Cekic SG, Unal C, Ozek MA, Gürsoy A, Keskin Ö, Can F, Celik E",10.1007/s00404-024-07560-9,https://ncbi.nlm.nih.gov/pubmed/38771532,Arch Gynecol Obstet,38771532,"Ozcan G, et al. The vaginal microbiome composition during pregnancy in a region compromising different ethnic origins. The vaginal microbiome composition during pregnancy in a region compromising different ethnic origins. 2024; 310:369-375. doi: 10.1007/s00404-024-07560-9",N/A,2024
Compositional and functional differences of the vaginal microbiota of women with and without cervical dysplasia.,"Norenhag J, Edfeldt G, Stålberg K, Garcia F, Hugerth LW, Engstrand L, Fransson E, Du J, Schuppe-Koistinen I, Olovsson M",10.1038/s41598-024-61942-2,https://ncbi.nlm.nih.gov/pubmed/38755259,Sci Rep,38755259,"Norenhag J, et al. Compositional and functional differences of the vaginal microbiota of women with and without cervical dysplasia. Compositional and functional differences of the vaginal microbiota of women with and without cervical dysplasia. 2024; 14:11183. doi: 10.1038/s41598-024-61942-2",N/A,2024
Testing on bacterial vaginosis in a subfertile population and time to pregnancy: a prospective cohort study.,"van den Tweel M, van den Munckhof E, van der Zanden M, Le Cessie S, van Lith J, Boers K",10.1007/s00404-024-07542-x,https://ncbi.nlm.nih.gov/pubmed/38753204,Arch Gynecol Obstet,38753204,"van den Tweel M, et al. Testing on bacterial vaginosis in a subfertile population and time to pregnancy: a prospective cohort study. Testing on bacterial vaginosis in a subfertile population and time to pregnancy: a prospective cohort study. 2024; 310:1245-1253. doi: 10.1007/s00404-024-07542-x",N/A,2024
